"Reference","Year","Month","Season","bay_segment","Longitude","Latitude","ScoreNumTaxa","ScoreShannon","ScoreTaxaSelect","ScoreTaxaBenthic","ScoreNumGuilds","TBNI_Score"
"TBM1998081903",1998,8,"Summer","MTB",-82.617,27.819,5,3,2,5,7,44
"TBM1998081904",1998,8,"Summer","MTB",-82.599167,27.8105,6,6,0,3,7,44
"TBM1998081907",1998,8,"Summer","MTB",-82.624667,27.741333,5,10,5,6,7,66
"TBM1998082003",1998,8,"Summer","MTB",-82.4755,27.719167,9,10,10,8,10,94
"TBM1998082004",1998,8,"Summer","MTB",-82.408333,27.790833,1,4,2,0,3,20
"TBM1998082102",1998,8,"Summer","LTB",-82.678,27.6505,2,7,0,2,7,36
"TBM1998090401",1998,9,"Summer","HB",-82.481167,27.881167,7,1,10,6,10,68
"TBM1998090408",1998,9,"Summer","HB",-82.417333,27.937167,1,5,2,1,3,24
"TBM1998090410",1998,9,"Summer","HB",-82.482,27.9255,1,2,0,1,3,14
"TBM1998090411",1998,9,"Summer","HB",-82.446333,27.912,7,6,5,5,10,66
"TBM1998090809",1998,9,"Summer","LTB",-82.673333,27.6485,0,0,0,0,0,0
"TBM1998091101",1998,9,"Summer","OTB",-82.532833,27.871667,4,5,0,3,10,44
"TBM1998091102",1998,9,"Summer","OTB",-82.5405,27.838167,4,2,5,4,10,50
"TBM1998091103",1998,9,"Summer","OTB",-82.547167,27.941333,5,4,0,4,10,46
"TBM1998091104",1998,9,"Summer","OTB",-82.618333,27.983167,0,0,2,0,0,4
"TBM1998091403",1998,9,"Summer","OTB",-82.723833,27.949167,7,6,8,6,10,74
"TBM1998091405",1998,9,"Summer","OTB",-82.634167,27.995833,7,3,8,5,7,60
"TBM1998091406",1998,9,"Summer","OTB",-82.677167,28.034167,2,6,0,0,3,22
"TBM1998091501",1998,9,"Summer","MTB",-82.485667,27.7195,8,8,8,7,10,82
"TBM1998091505",1998,9,"Summer","MTB",-82.498667,27.6815,5,3,10,5,10,66
"TBM1998091516",1998,9,"Summer","LTB",-82.5695,27.633833,8,7,7,9,10,82
"TBM1998091604",1998,9,"Summer","LTB",-82.710667,27.503167,10,10,7,10,10,94
"TBM1998091605",1998,9,"Summer","LTB",-82.681333,27.525333,6,10,7,6,10,78
"TBM1998091606",1998,9,"Summer","LTB",-82.6655,27.525667,6,6,3,4,10,58
"TBM1998091607",1998,9,"Summer","LTB",-82.608833,27.569,8,8,10,9,7,84
"TBM1998092105",1998,9,"Summer","MTB",-82.606333,27.8265,8,7,5,6,10,72
"TBM1998092401",1998,9,"Summer","MTB",-82.641333,27.736667,9,3,8,9,10,78
"TBM1998100602",1998,10,"Fall","HB",-82.4625,27.909833,2,4,0,1,5,24
"TBM1998100604",1998,10,"Fall","HB",-82.4285,27.932333,8,8,2,7,10,70
"TBM1998100605",1998,10,"Fall","HB",-82.4165,27.928167,2,1,0,2,5,20
"TBM1998100607",1998,10,"Fall","HB",-82.417167,27.928167,6,6,8,7,8,70
"TBM1998100609",1998,10,"Fall","HB",-82.417333,27.934167,3,1,2,2,8,32
"TBM1998100702",1998,10,"Fall","MTB",-82.6065,27.840833,9,0,8,7,10,68
"TBM1998100705",1998,10,"Fall","MTB",-82.581167,27.826833,2,7,0,1,7,34
"TBM1998100707",1998,10,"Fall","OTB",-82.592667,27.855667,9,7,2,8,10,72
"TBM1998100805",1998,10,"Fall","MTB",-82.634333,27.706,5,10,2,5,7,58
"TBM1998101301",1998,10,"Fall","OTB",-82.701667,27.960167,8,6,10,7,10,82
"TBM1998101302",1998,10,"Fall","OTB",-82.718833,27.9525,0,0,2,0,0,4
"TBM1998101308",1998,10,"Fall","OTB",-82.5355,27.937167,10,1,8,10,10,78
"TBM1998101313",1998,10,"Fall","OTB",-82.63,28.006667,4,8,2,3,7,48
"TBM1998101320",1998,10,"Fall","OTB",-82.662333,27.999667,5,1,8,5,10,58
"TBM1998101409",1998,10,"Fall","LTB",-82.550833,27.650833,9,6,8,7,8,76
"TBM1998101410",1998,10,"Fall","LTB",-82.566667,27.604833,7,10,10,7,8,84
"TBM1998101416",1998,10,"Fall","LTB",-82.590833,27.602667,5,9,2,4,5,50
"TBM1998110202",1998,11,"Fall","HB",-82.416833,27.934833,0,0,0,0,0,0
"TBM1998110207",1998,11,"Fall","OTB",-82.535,27.871333,8,9,10,9,10,92
"TBM1998110208",1998,11,"Fall","OTB",-82.531667,27.878333,1,0,2,1,3,14
"TBM1998110209",1998,11,"Fall","MTB",-82.458,27.751667,4,8,5,5,7,58
"TBM1998110210",1998,11,"Fall","MTB",-82.458333,27.751667,5,10,8,6,7,72
"TBM1998110409",1998,11,"Fall","OTB",-82.716333,27.955667,5,1,5,4,7,44
"TBM1998110410",1998,11,"Fall","OTB",-82.6925,27.968667,9,10,5,10,10,88
"TBM1998110413",1998,11,"Fall","OTB",-82.622333,27.993833,6,10,8,6,7,74
"TBM1998110414",1998,11,"Fall","HB",-82.399667,27.8525,3,8,5,3,8,54
"TBM1998110415",1998,11,"Fall","OTB",-82.613,27.984333,10,4,10,10,10,88
"TBM1998110416",1998,11,"Fall","OTB",-82.5705,27.9745,3,8,5,2,10,56
"TBM1998111205",1998,11,"Fall","MTB",-82.604333,27.835,0,0,0,0,0,0
"TBM1998111206",1998,11,"Fall","MTB",-82.480833,27.744667,1,4,0,2,3,20
"TBM1998111207",1998,11,"Fall","MTB",-82.635333,27.720167,10,7,5,8,10,80
"TBM1998111602",1998,11,"Fall","LTB",-82.688,27.513833,4,5,2,4,8,46
"TBM1998111606",1998,11,"Fall","LTB",-82.5665,27.614167,6,2,5,5,5,46
"TBM1998111607",1998,11,"Fall","LTB",-82.625167,27.560833,4,10,5,4,5,56
"TBM1998120201",1998,12,"Winter","LTB",-82.6855,27.522,9,7,10,9,8,86
"TBM1998120301",1998,12,"Winter","HB",-82.476667,27.928167,10,8,10,10,10,96
"TBM1998120306",1998,12,"Winter","MTB",-82.527167,27.6925,2,4,0,2,2,20
"TBM1998120307",1998,12,"Winter","HB",-82.387833,27.859667,10,2,7,7,10,72
"TBM1998120410",1998,12,"Winter","OTB",-82.653,27.912167,1,0,3,1,2,14
"TBM1998120703",1998,12,"Winter","OTB",-82.552833,27.855167,9,10,10,10,8,94
"TBM1998120704",1998,12,"Winter","MTB",-82.5295,27.829167,2,4,3,2,5,32
"TBM1998120705",1998,12,"Winter","MTB",-82.628,27.743333,8,6,7,8,8,74
"TBM1998120706",1998,12,"Winter","MTB",-82.624833,27.732667,10,10,10,10,10,100
"TBM1998120805",1998,12,"Winter","OTB",-82.6325,27.999167,1,0,0,0,2,6
"TBM1998120807",1998,12,"Winter","OTB",-82.577667,27.975667,8,1,3,7,10,58
"TBM1998120810",1998,12,"Winter","OTB",-82.665333,27.9645,10,9,10,10,10,98
"TBM1998120811",1998,12,"Winter","OTB",-82.661,27.995,5,9,7,5,10,72
"TBM1998120910",1998,12,"Winter","MTB",-82.436167,27.775333,1,0,0,1,2,8
"TBM1998120912",1998,12,"Winter","MTB",-82.4425,27.766,1,0,0,1,2,8
"TBM1998121501",1998,12,"Winter","MTB",-82.479833,27.722667,2,1,3,1,5,24
"TBM1998121504",1998,12,"Winter","LTB",-82.565833,27.630167,2,4,0,2,5,26
"TBM1999010402",1999,1,"Winter","HB",-82.428667,27.932167,10,10,7,10,10,94
"TBM1999010403",1999,1,"Winter","HB",-82.4165,27.889167,7,0,7,7,10,62
"TBM1999010502",1999,1,"Winter","OTB",-82.687,27.971333,1,0,0,1,2,8
"TBM1999010504",1999,1,"Winter","OTB",-82.584,27.975333,2,6,0,2,5,30
"TBM1999010602",1999,1,"Winter","MTB",-82.594667,27.802667,1,0,0,1,2,8
"TBM1999010604",1999,1,"Winter","MTB",-82.624833,27.744167,9,2,3,7,10,62
"TBM1999010605",1999,1,"Winter","MTB",-82.623667,27.744,1,0,0,1,2,8
"TBM1999010708",1999,1,"Winter","LTB",-82.6295,27.558667,2,2,3,2,5,28
"TBM1999010710",1999,1,"Winter","LTB",-82.633333,27.554,0,0,0,0,0,0
"TBM1999010810",1999,1,"Winter","MTB",-82.473833,27.750333,2,4,3,2,5,32
"TBM1999010813",1999,1,"Winter","MTB",-82.518,27.706833,3,5,0,3,5,32
"TBM1999010814",1999,1,"Winter","MTB",-82.524333,27.695833,5,1,0,5,8,38
"TBM1999010815",1999,1,"Winter","LTB",-82.645833,27.680833,0,0,0,0,0,0
"TBM1999011201",1999,1,"Winter","OTB",-82.531667,27.924,3,5,3,3,5,38
"TBM1999011203",1999,1,"Winter","OTB",-82.6965,27.921833,2,4,0,2,2,20
"TBM1999011210",1999,1,"Winter","OTB",-82.624,27.889,0,0,0,0,0,0
"TBM1999011901",1999,1,"Winter","HB",-82.44,27.8225,1,0,0,1,2,8
"TBM1999012007",1999,1,"Winter","LTB",-82.719333,27.528833,2,5,0,2,5,28
"TBM1999020101",1999,2,"Winter","OTB",-82.537167,27.902333,1,0,0,1,2,8
"TBM1999020102",1999,2,"Winter","OTB",-82.622167,27.888833,3,1,3,2,8,34
"TBM1999020103",1999,2,"Winter","OTB",-82.622167,27.888833,2,6,0,2,5,30
"TBM1999020803",1999,2,"Winter","LTB",-82.696333,27.632833,0,0,0,0,0,0
"TBM1999020804",1999,2,"Winter","LTB",-82.673167,27.664167,6,3,0,6,8,46
"TBM1999020905",1999,2,"Winter","HB",-82.413,27.896333,6,4,10,4,10,68
"TBM1999020910",1999,2,"Winter","MTB",-82.633667,27.711667,6,5,3,6,5,50
"TBM1999021102",1999,2,"Winter","OTB",-82.584333,27.832833,1,0,0,1,2,8
"TBM1999021103",1999,2,"Winter","OTB",-82.544833,27.846,1,0,0,1,2,8
"TBM1999021105",1999,2,"Winter","MTB",-82.616667,27.8195,5,7,0,5,8,50
"TBM1999021202",1999,2,"Winter","MTB",-82.546,27.6625,2,4,0,2,2,20
"TBM1999021205",1999,2,"Winter","LTB",-82.5825,27.595833,7,5,7,6,8,66
"TBM1999021502",1999,2,"Winter","OTB",-82.635167,27.992667,5,7,7,6,5,60
"TBM1999021503",1999,2,"Winter","OTB",-82.703,27.930167,2,4,0,2,5,26
"TBM1999021609",1999,2,"Winter","LTB",-82.693,27.504,4,2,3,3,5,34
"TBM1999021703",1999,2,"Winter","MTB",-82.438833,27.772333,2,4,0,2,2,20
"TBM1999021705",1999,2,"Winter","HB",-82.402333,27.812667,4,8,3,4,5,48
"TBM1999021801",1999,2,"Winter","MTB",-82.476833,27.731333,1,0,0,1,2,8
"TBM1999021802",1999,2,"Winter","MTB",-82.479167,27.723333,6,7,10,6,5,68
"TBM1999030202",1999,3,"Winter","OTB",-82.6885,27.967667,2,1,3,1,5,24
"TBM1999030206",1999,3,"Winter","OTB",-82.7165,27.956333,2,2,3,1,5,26
"TBM1999030210",1999,3,"Winter","OTB",-82.605667,27.979333,1,0,0,1,2,8
"TBM1999030901",1999,3,"Winter","HB",-82.415,27.933167,0,0,0,0,0,0
"TBM1999030902",1999,3,"Winter","HB",-82.422333,27.9445,2,4,3,1,5,30
"TBM1999030903",1999,3,"Winter","HB",-82.4065,27.884833,2,1,3,1,5,24
"TBM1999030906",1999,3,"Winter","HB",-82.410667,27.8105,1,0,0,0,2,6
"TBM1999031204",1999,3,"Winter","OTB",-82.600833,27.864833,7,10,10,8,8,86
"TBM1999031205",1999,3,"Winter","OTB",-82.6375,27.889833,4,7,3,5,5,48
"TBM1999031206",1999,3,"Winter","OTB",-82.532167,27.9265,2,5,3,2,8,40
"TBM1999031601",1999,3,"Winter","MTB",-82.617833,27.803,1,0,3,1,2,14
"TBM1999031602",1999,3,"Winter","MTB",-82.609333,27.805,8,2,0,7,8,50
"TBM1999031604",1999,3,"Winter","MTB",-82.5915,27.809,3,6,0,3,5,34
"TBM1999032301",1999,3,"Winter","MTB",-82.532,27.685167,9,3,10,8,8,76
"TBM1999032302",1999,3,"Winter","MTB",-82.528333,27.691,0,0,0,0,0,0
"TBM1999032303",1999,3,"Winter","MTB",-82.533833,27.683667,4,2,0,3,8,34
"TBM1999032304",1999,3,"Winter","MTB",-82.546333,27.664333,4,3,0,4,8,38
"TBM1999032309",1999,3,"Winter","MTB",-82.476667,27.725333,6,8,10,5,8,74
"TBM1999032403",1999,3,"Winter","LTB",-82.708667,27.5135,2,3,0,2,5,24
"TBM1999040205",1999,4,"Spring","OTB",-82.622667,27.992333,3,7,0,2,7,38
"TBM1999040207",1999,4,"Spring","OTB",-82.540833,27.939167,2,5,0,3,3,26
"TBM1999040208",1999,4,"Spring","OTB",-82.534667,27.923333,5,7,3,5,7,54
"TBM1999040606",1999,4,"Spring","HB",-82.411,27.810333,0,0,0,0,0,0
"TBM1999040607",1999,4,"Spring","LTB",-82.570833,27.630833,2,6,3,3,3,34
"TBM1999040608",1999,4,"Spring","HB",-82.399667,27.823667,4,3,3,4,8,44
"TBM1999040701",1999,4,"Spring","LTB",-82.563333,27.607167,7,5,7,7,7,66
"TBM1999040702",1999,4,"Spring","HB",-82.413833,27.931333,3,2,3,3,8,38
"TBM1999040703",1999,4,"Spring","LTB",-82.563333,27.608333,3,9,0,4,7,46
"TBM1999040704",1999,4,"Spring","HB",-82.459667,27.941167,6,7,7,5,8,66
"TBM1999040706",1999,4,"Spring","HB",-82.431667,27.895,2,7,7,3,5,48
"TBM1999041307",1999,4,"Spring","OTB",-82.5875,27.890667,1,4,0,2,0,14
"TBM1999041315",1999,4,"Spring","OTB",-82.632,27.908833,1,4,0,1,3,18
"TBM1999041402",1999,4,"Spring","MTB",-82.626167,27.774667,5,9,10,3,7,68
"TBM1999041407",1999,4,"Spring","MTB",-82.618333,27.801333,2,8,3,1,3,34
"TBM1999041410",1999,4,"Spring","MTB",-82.597833,27.810333,4,4,3,5,3,38
"TBM1999041412",1999,4,"Spring","OTB",-82.591833,27.842833,2,4,0,3,3,24
"TBM1999041901",1999,4,"Spring","LTB",-82.687167,27.528667,0,0,0,0,0,0
"TBM1999042002",1999,4,"Spring","LTB",-82.706167,27.528667,1,1,0,1,3,12
"TBM1999050402",1999,5,"Spring","OTB",-82.516833,27.928167,0,0,0,1,0,2
"TBM1999050409",1999,5,"Spring","OTB",-82.536667,27.839833,5,5,3,5,7,50
"TBM1999050411",1999,5,"Spring","MTB",-82.509333,27.822167,1,4,0,1,3,18
"TBM1999050604",1999,5,"Spring","HB",-82.402833,27.879,10,2,10,10,10,84
"TBM1999050605",1999,5,"Spring","HB",-82.437833,27.866833,6,9,10,5,8,76
"TBM1999050702",1999,5,"Spring","MTB",-82.618,27.715,2,5,0,2,3,24
