"Reference","Project_1","Project_2","Project_3","Sampling_Date","Latitude","Longitude","Zone","Grid","Stratum","effort","Species_record_id","NODCCODE","Scientificname","Commonname","Splittype","Splitlevel","Cells","Number"
"TBM1998010926","AM",". ",". ","1998-01-09",27.862333,-82.405333,"C",135,"B",1.4,1,"8747060303","Harengula jaguana","Scaled Sardine","."," .",NA,3
"TBM1998010926","AM",". ",". ","1998-01-09",27.862333,-82.405333,"C",135,"B",1.4,2,"8747060303","Harengula jaguana","Scaled Sardine","."," .",NA,7
"TBM1998010926","AM",". ",". ","1998-01-09",27.862333,-82.405333,"C",135,"B",1.4,3,"8777180202","Ariopsis felis","Hardhead Catfish","."," .",NA,1
"TBM1998010926","AM",". ",". ","1998-01-09",27.862333,-82.405333,"C",135,"B",1.4,4,"8836010101","Mugil cephalus","Striped Mullet","."," .",NA,1
"TBM1998010926","AM",". ",". ","1998-01-09",27.862333,-82.405333,"C",135,"B",1.4,5,"8858030101","Trinectes maculatus","Hogchoker","."," .",NA,1
"TBM1998010928","AM",". ",". ","1998-01-09",27.875667,-82.424667,"C",121,"B",1.4,1,"8713070301","Rhinoptera bonasus","Cownose Ray","."," .",NA,1
"TBM1998010929","AM",". ",". ","1998-01-09",27.8315,-82.400833,"C",167,"B",1.4,1,"9998000000","No fish","No fish","."," .",NA,0
"TBM1998011202","AM",". ",". ","1998-01-12",27.848333,-82.618833,"B",137,"B",1.4,1,"9998000000","No fish","No fish","."," .",NA,0
"TBM1998011502","AM",". ",". ","1998-01-15",27.548,-82.636167,"E",413,"A",1.4,1,"8820020102","Syngnathus floridae","Dusky Pipefish","."," .",NA,1
"TBM1998011502","AM",". ",". ","1998-01-15",27.548,-82.636167,"E",413,"A",1.4,2,"8840130204","Dactyloscopus moorei","Speckled Stargazer","."," .",NA,1
"TBM1998011502","AM",". ",". ","1998-01-15",27.548,-82.636167,"E",413,"A",1.4,3,"8860020703","Stephanolepis hispida","Planehead Filefish","."," .",NA,1
"TBM1998011503","AM",". ",". ","1998-01-15",27.551333,-82.616,"E",405,"S",1.4,1,"6177010102","Farfantepenaeus duorarum","Pink Shrimp","."," .",NA,3
"TBM1998011503","AM",". ",". ","1998-01-15",27.551333,-82.616,"E",405,"S",1.4,2,"6177010102","Farfantepenaeus duorarum","Pink Shrimp","."," .",NA,7
"TBM1998011503","AM",". ",". ","1998-01-15",27.551333,-82.616,"E",405,"S",1.4,3,"6189010301","Callinectes sapidus","Blue Crab","."," .",NA,1
"TBM1998011503","AM",". ",". ","1998-01-15",27.551333,-82.616,"E",405,"S",1.4,4,"6189010301","Callinectes sapidus","Blue Crab","."," .",NA,1
"TBM1998011503","AM",". ",". ","1998-01-15",27.551333,-82.616,"E",405,"S",1.4,5,"8762020101","Synodus foetens","Inshore Lizardfish","."," .",NA,1
"TBM1998011503","AM",". ",". ","1998-01-15",27.551333,-82.616,"E",405,"S",1.4,6,"8804040501","Floridichthys carpio","Goldspotted Killifish","."," .",NA,3
"TBM1998011503","AM",". ",". ","1998-01-15",27.551333,-82.616,"E",405,"S",1.4,7,"8804040501","Floridichthys carpio","Goldspotted Killifish","."," .",NA,6
"TBM1998011503","AM",". ",". ","1998-01-15",27.551333,-82.616,"E",405,"S",1.4,8,"8805030300","Menidia spp.","New World silversides","."," .",NA,1
"TBM1998011503","AM",". ",". ","1998-01-15",27.551333,-82.616,"E",405,"S",1.4,9,"8835390100","Eucinostomus spp.","Eucinostomus","."," .",NA,3
"TBM1998011503","AM",". ",". ","1998-01-15",27.551333,-82.616,"E",405,"S",1.4,10,"8835390100","Eucinostomus spp.","Eucinostomus","."," .",NA,3
"TBM1998011503","AM",". ",". ","1998-01-15",27.551333,-82.616,"E",405,"S",1.4,11,"8835430201","Lagodon rhomboides","Pinfish","."," .",NA,3
"TBM1998011503","AM",". ",". ","1998-01-15",27.551333,-82.616,"E",405,"S",1.4,12,"8835430201","Lagodon rhomboides","Pinfish","."," .",NA,78
"TBM1998011503","AM",". ",". ","1998-01-15",27.551333,-82.616,"E",405,"S",1.4,13,"8835440401","Leiostomus xanthurus","Spot","."," .",NA,1
"TBM1998011503","AM",". ",". ","1998-01-15",27.551333,-82.616,"E",405,"S",1.4,14,"8836010101","Mugil cephalus","Striped Mullet","."," .",NA,1
"TBM1998011503","AM",". ",". ","1998-01-15",27.551333,-82.616,"E",405,"S",1.4,15,"8847010603","Gobiosoma robustum","Code Goby","."," .",NA,1
"TBM1998011503","AM",". ",". ","1998-01-15",27.551333,-82.616,"E",405,"S",1.4,16,"8847010701","Microgobius gulosus","Clown Goby","."," .",NA,1
"TBM1998011503","AM",". ",". ","1998-01-15",27.551333,-82.616,"E",405,"S",1.4,17,"8847010701","Microgobius gulosus","Clown Goby","."," .",NA,3
"TBM1998011503","AM",". ",". ","1998-01-15",27.551333,-82.616,"E",405,"S",1.4,18,"8861010208","Sphoeroides nephelus","Southern Puffer","."," .",NA,1
"TBM1998011505","AM",". ",". ","1998-01-15",27.567833,-82.567,"E",395,"B",1.4,1,"8747020202","Anchoa mitchilli","Bay Anchovy","."," .",NA,51
"TBM1998011505","AM",". ",". ","1998-01-15",27.567833,-82.567,"E",395,"B",1.4,2,"8836010101","Mugil cephalus","Striped Mullet","."," .",NA,1
"TBM1998011506","AM",". ",". ","1998-01-15",27.568833,-82.574167,"E",395,"A",1.4,1,"6177010102","Farfantepenaeus duorarum","Pink Shrimp","."," .",NA,4
"TBM1998011506","AM",". ",". ","1998-01-15",27.568833,-82.574167,"E",395,"A",1.4,2,"8805030300","Menidia spp.","New World silversides","."," .",NA,46
"TBM1998011506","AM",". ",". ","1998-01-15",27.568833,-82.574167,"E",395,"A",1.4,3,"8835430201","Lagodon rhomboides","Pinfish","."," .",NA,1
"TBM1998011506","AM",". ",". ","1998-01-15",27.568833,-82.574167,"E",395,"A",1.4,4,"8835430201","Lagodon rhomboides","Pinfish","."," .",NA,5
"TBM1998011507","AM",". ",". ","1998-01-15",27.5385,-82.59,"E",416,"A",1.4,1,"6177010102","Farfantepenaeus duorarum","Pink Shrimp","."," .",NA,8
"TBM1998011507","AM",". ",". ","1998-01-15",27.5385,-82.59,"E",416,"A",1.4,2,"8762020101","Synodus foetens","Inshore Lizardfish","."," .",NA,1
"TBM1998011507","AM",". ",". ","1998-01-15",27.5385,-82.59,"E",416,"A",1.4,3,"8803020202","Strongylura notata","Redfin Needlefish","."," .",NA,2
"TBM1998011507","AM",". ",". ","1998-01-15",27.5385,-82.59,"E",416,"A",1.4,4,"8805030300","Menidia spp.","New World silversides","."," .",NA,90
"TBM1998011507","AM",". ",". ","1998-01-15",27.5385,-82.59,"E",416,"A",1.4,5,"8820020102","Syngnathus floridae","Dusky Pipefish","."," .",NA,1
"TBM1998011507","AM",". ",". ","1998-01-15",27.5385,-82.59,"E",416,"A",1.4,6,"8820020113","Syngnathus scovelli","Gulf Pipefish","."," .",NA,2
"TBM1998011507","AM",". ",". ","1998-01-15",27.5385,-82.59,"E",416,"A",1.4,7,"8835400201","Orthopristis chrysoptera","Pigfish","."," .",NA,3
"TBM1998011507","AM",". ",". ","1998-01-15",27.5385,-82.59,"E",416,"A",1.4,8,"8835400201","Orthopristis chrysoptera","Pigfish","."," .",NA,5
"TBM1998011507","AM",". ",". ","1998-01-15",27.5385,-82.59,"E",416,"A",1.4,9,"8835430201","Lagodon rhomboides","Pinfish","."," .",NA,3
"TBM1998011507","AM",". ",". ","1998-01-15",27.5385,-82.59,"E",416,"A",1.4,10,"8835430201","Lagodon rhomboides","Pinfish","."," .",NA,111
"TBM1998011507","AM",". ",". ","1998-01-15",27.5385,-82.59,"E",416,"A",1.4,11,"8835440401","Leiostomus xanthurus","Spot","."," .",NA,3
"TBM1998011507","AM",". ",". ","1998-01-15",27.5385,-82.59,"E",416,"A",1.4,12,"8835440401","Leiostomus xanthurus","Spot","."," .",NA,6
"TBM1998012107","AM",". ",". ","1998-01-21",27.829167,-82.581333,"B",157,"A",1.4,1,"8805030300","Menidia spp.","New World silversides","."," .",NA,1
"TBM1998012107","AM",". ",". ","1998-01-21",27.829167,-82.581333,"B",157,"A",1.4,2,"8835390100","Eucinostomus spp.","Eucinostomus","."," .",NA,3
"TBM1998012115","AM",". ",". ","1998-01-21",27.7795,-82.622167,"B",208,"A",1.4,1,"8835390100","Eucinostomus spp.","Eucinostomus","."," .",NA,38
"TBM1998012115","AM",". ",". ","1998-01-21",27.7795,-82.622167,"B",208,"A",1.4,2,"8835430201","Lagodon rhomboides","Pinfish","."," .",NA,3
"TBM1998012115","AM",". ",". ","1998-01-21",27.7795,-82.622167,"B",208,"A",1.4,3,"8835430201","Lagodon rhomboides","Pinfish","."," .",NA,65
"TBM1998012115","AM",". ",". ","1998-01-21",27.7795,-82.622167,"B",208,"A",1.4,4,"8835440401","Leiostomus xanthurus","Spot","."," .",NA,3
"TBM1998012115","AM",". ",". ","1998-01-21",27.7795,-82.622167,"B",208,"A",1.4,5,"8835440401","Leiostomus xanthurus","Spot","."," .",NA,18
"TBM1998012201","AM",". ",". ","1998-01-22",27.640833,-82.726,"D",340,"A",1.4,1,"6177010102","Farfantepenaeus duorarum","Pink Shrimp","."," .",NA,4
"TBM1998012201","AM",". ",". ","1998-01-22",27.640833,-82.726,"D",340,"A",1.4,2,"6177010102","Farfantepenaeus duorarum","Pink Shrimp","."," .",NA,47
"TBM1998012201","AM",". ",". ","1998-01-22",27.640833,-82.726,"D",340,"A",1.4,3,"8805030300","Menidia spp.","New World silversides","."," .",NA,3
"TBM1998012201","AM",". ",". ","1998-01-22",27.640833,-82.726,"D",340,"A",1.4,4,"8805030300","Menidia spp.","New World silversides","."," .",NA,39
"TBM1998012201","AM",". ",". ","1998-01-22",27.640833,-82.726,"D",340,"A",1.4,5,"8820020113","Syngnathus scovelli","Gulf Pipefish","."," .",NA,2
"TBM1998012201","AM",". ",". ","1998-01-22",27.640833,-82.726,"D",340,"A",1.4,6,"8835430201","Lagodon rhomboides","Pinfish","."," .",NA,3
"TBM1998012201","AM",". ",". ","1998-01-22",27.640833,-82.726,"D",340,"A",1.4,7,"8835430201","Lagodon rhomboides","Pinfish","."," .",NA,821
"TBM1998012201","AM",". ",". ","1998-01-22",27.640833,-82.726,"D",340,"A",1.4,8,"8835440401","Leiostomus xanthurus","Spot","."," .",NA,2
"TBM1998012201","AM",". ",". ","1998-01-22",27.640833,-82.726,"D",340,"A",1.4,9,"8847010603","Gobiosoma robustum","Code Goby","."," .",NA,2
"TBM1998012201","AM",". ",". ","1998-01-22",27.640833,-82.726,"D",340,"A",1.4,10,"8847010701","Microgobius gulosus","Clown Goby","."," .",NA,1
"TBM1998012201","AM",". ",". ","1998-01-22",27.640833,-82.726,"D",340,"A",1.4,11,"8861010211","Sphoeroides spengleri","Bandtail Puffer","."," .",NA,1
"TBM1998012202","AM",". ",". ","1998-01-22",27.648333,-82.735667,"D",339,"B",1.4,1,"6177010102","Farfantepenaeus duorarum","Pink Shrimp","."," .",NA,23
"TBM1998012202","AM",". ",". ","1998-01-22",27.648333,-82.735667,"D",339,"B",1.4,2,"6189010301","Callinectes sapidus","Blue Crab","."," .",NA,1
"TBM1998012202","AM",". ",". ","1998-01-22",27.648333,-82.735667,"D",339,"B",1.4,3,"8747020201","Anchoa hepsetus","Striped Anchovy","."," .",NA,3
"TBM1998012202","AM",". ",". ","1998-01-22",27.648333,-82.735667,"D",339,"B",1.4,4,"8820020205","Hippocampus zosterae","Dwarf Seahorse","."," .",NA,1
"TBM1998012202","AM",". ",". ","1998-01-22",27.648333,-82.735667,"D",339,"B",1.4,5,"8835430201","Lagodon rhomboides","Pinfish","."," .",NA,34
"TBM1998012202","AM",". ",". ","1998-01-22",27.648333,-82.735667,"D",339,"B",1.4,6,"8847010701","Microgobius gulosus","Clown Goby","."," .",NA,1
"TBM1998012205","AM",". ",". ","1998-01-22",27.647833,-82.711167,"D",341,"B",1.4,1,"8805030300","Menidia spp.","New World silversides","."," .",NA,97
"TBM1998012205","AM",". ",". ","1998-01-22",27.647833,-82.711167,"D",341,"B",1.4,2,"8820020113","Syngnathus scovelli","Gulf Pipefish","."," .",NA,1
"TBM1998012207","AM",". ",". ","1998-01-22",27.6625,-82.691667,"D",329,"S",1.4,1,"6177010102","Farfantepenaeus duorarum","Pink Shrimp","."," .",NA,2
"TBM1998012207","AM",". ",". ","1998-01-22",27.6625,-82.691667,"D",329,"S",1.4,2,"8804040301","Lucania parva","Rainwater Killifish","."," .",NA,3
"TBM1998012207","AM",". ",". ","1998-01-22",27.6625,-82.691667,"D",329,"S",1.4,3,"8804040301","Lucania parva","Rainwater Killifish","."," .",NA,12
"TBM1998012207","AM",". ",". ","1998-01-22",27.6625,-82.691667,"D",329,"S",1.4,4,"8804040501","Floridichthys carpio","Goldspotted Killifish","."," .",NA,3
"TBM1998012207","AM",". ",". ","1998-01-22",27.6625,-82.691667,"D",329,"S",1.4,5,"8804040501","Floridichthys carpio","Goldspotted Killifish","."," .",NA,11
"TBM1998012207","AM",". ",". ","1998-01-22",27.6625,-82.691667,"D",329,"S",1.4,6,"8805030300","Menidia spp.","New World silversides","."," .",NA,21
"TBM1998012207","AM",". ",". ","1998-01-22",27.6625,-82.691667,"D",329,"S",1.4,7,"8820020113","Syngnathus scovelli","Gulf Pipefish","."," .",NA,4
"TBM1998012207","AM",". ",". ","1998-01-22",27.6625,-82.691667,"D",329,"S",1.4,8,"8835390100","Eucinostomus spp.","Eucinostomus","."," .",NA,3
"TBM1998012207","AM",". ",". ","1998-01-22",27.6625,-82.691667,"D",329,"S",1.4,9,"8835390100","Eucinostomus spp.","Eucinostomus","."," .",NA,47
"TBM1998012207","AM",". ",". ","1998-01-22",27.6625,-82.691667,"D",329,"S",1.4,10,"8835430201","Lagodon rhomboides","Pinfish","."," .",NA,4
"TBM1998012207","AM",". ",". ","1998-01-22",27.6625,-82.691667,"D",329,"S",1.4,11,"8835430201","Lagodon rhomboides","Pinfish","."," .",NA,759
"TBM1998012207","AM",". ",". ","1998-01-22",27.6625,-82.691667,"D",329,"S",1.4,12,"8835440401","Leiostomus xanthurus","Spot","."," .",NA,1
"TBM1998012207","AM",". ",". ","1998-01-22",27.6625,-82.691667,"D",329,"S",1.4,13,"8847010603","Gobiosoma robustum","Code Goby","."," .",NA,7
"TBM1998012207","AM",". ",". ","1998-01-22",27.6625,-82.691667,"D",329,"S",1.4,14,"8847010701","Microgobius gulosus","Clown Goby","."," .",NA,5
"TBM1998012208","AM",". ",". ","1998-01-22",27.6875,-82.675833,"D",295,"A",1.4,1,"8804040301","Lucania parva","Rainwater Killifish","."," .",NA,2
"TBM1998012208","AM",". ",". ","1998-01-22",27.6875,-82.675833,"D",295,"A",1.4,2,"8805030300","Menidia spp.","New World silversides","."," .",NA,9
"TBM1998012208","AM",". ",". ","1998-01-22",27.6875,-82.675833,"D",295,"A",1.4,3,"8820020102","Syngnathus floridae","Dusky Pipefish","."," .",NA,1
"TBM1998012208","AM",". ",". ","1998-01-22",27.6875,-82.675833,"D",295,"A",1.4,4,"8820020104","Syngnathus louisianae","Chain Pipefish","."," .",NA,1
"TBM1998012208","AM",". ",". ","1998-01-22",27.6875,-82.675833,"D",295,"A",1.4,5,"8835390100","Eucinostomus spp.","Eucinostomus","."," .",NA,3
"TBM1998012208","AM",". ",". ","1998-01-22",27.6875,-82.675833,"D",295,"A",1.4,6,"8835390102","Eucinostomus gula","Silver Jenny","."," .",NA,16
"TBM1998012208","AM",". ",". ","1998-01-22",27.6875,-82.675833,"D",295,"A",1.4,7,"8835400201","Orthopristis chrysoptera","Pigfish","."," .",NA,3
"TBM1998012208","AM",". ",". ","1998-01-22",27.6875,-82.675833,"D",295,"A",1.4,8,"8835400201","Orthopristis chrysoptera","Pigfish","."," .",NA,28
"TBM1998012208","AM",". ",". ","1998-01-22",27.6875,-82.675833,"D",295,"A",1.4,9,"8835430201","Lagodon rhomboides","Pinfish","."," .",NA,3
"TBM1998012208","AM",". ",". ","1998-01-22",27.6875,-82.675833,"D",295,"A",1.4,10,"8835430201","Lagodon rhomboides","Pinfish","."," .",NA,123
"TBM1998012208","AM",". ",". ","1998-01-22",27.6875,-82.675833,"D",295,"A",1.4,11,"8835440401","Leiostomus xanthurus","Spot","."," .",NA,1
"TBM1998012208","AM",". ",". ","1998-01-22",27.6875,-82.675833,"D",295,"A",1.4,12,"8861010208","Sphoeroides nephelus","Southern Puffer","."," .",NA,1
"TBM1998012603","AM",". ",". ","1998-01-26",27.638833,-82.5635,"E",350,"B",1.4,1,"8820020113","Syngnathus scovelli","Gulf Pipefish","."," .",NA,1
"TBM1998012603","AM",". ",". ","1998-01-26",27.638833,-82.5635,"E",350,"B",1.4,2,"8835430201","Lagodon rhomboides","Pinfish","."," .",NA,1
"TBM1998021003","AM",". ",". ","1998-02-10",27.937,-82.464167,"C",56,"B",1.4,1,"6189010301","Callinectes sapidus","Blue Crab","."," .",NA,3
"TBM1998021003","AM",". ",". ","1998-02-10",27.937,-82.464167,"C",56,"B",1.4,2,"8805030300","Menidia spp.","New World silversides","."," .",NA,137
"TBM1998021003","AM",". ",". ","1998-02-10",27.937,-82.464167,"C",56,"B",1.4,3,"8835440401","Leiostomus xanthurus","Spot","."," .",NA,3
"TBM1998021005","AM",". ",". ","1998-02-10",27.8635,-82.435833,"C",133,"S",1.4,1,"6177010102","Farfantepenaeus duorarum","Pink Shrimp","."," .",NA,1
"TBM1998021005","AM",". ",". ","1998-02-10",27.8635,-82.435833,"C",133,"S",1.4,2,"8835440603","Menticirrhus saxatilis","Northern Kingfish","."," .",NA,2
"TBM1998021005","AM",". ",". ","1998-02-10",27.8635,-82.435833,"C",133,"S",1.4,3,"8836010101","Mugil cephalus","Striped Mullet","."," .",NA,11
"TBM1998021005","AM",". ",". ","1998-02-10",27.8635,-82.435833,"C",133,"S",1.4,4,"8836010101","Mugil cephalus","Striped Mullet","."," .",NA,11
"TBM1998021104","AM",". ",". ","1998-02-11",27.631167,-82.564667,"E",362,"B",1.4,1,"8835430201","Lagodon rhomboides","Pinfish","."," .",NA,6
"TBM1998021104","AM",". ",". ","1998-02-11",27.631167,-82.564667,"E",362,"B",1.4,2,"8835440401","Leiostomus xanthurus","Spot","."," .",NA,4
"TBM1998021201","AM",". ",". ","1998-02-12",27.847167,-82.620667,"B",137,"A",1.4,1,"6177010102","Farfantepenaeus duorarum","Pink Shrimp","."," .",NA,2
"TBM1998021201","AM",". ",". ","1998-02-12",27.847167,-82.620667,"B",137,"A",1.4,2,"6189010301","Callinectes sapidus","Blue Crab","."," .",NA,1
"TBM1998021201","AM",". ",". ","1998-02-12",27.847167,-82.620667,"B",137,"A",1.4,3,"8805030300","Menidia spp.","New World silversides","."," .",NA,2
"TBM1998021201","AM",". ",". ","1998-02-12",27.847167,-82.620667,"B",137,"A",1.4,4,"8835430201","Lagodon rhomboides","Pinfish","."," .",NA,3
"TBM1998021201","AM",". ",". ","1998-02-12",27.847167,-82.620667,"B",137,"A",1.4,5,"8835430201","Lagodon rhomboides","Pinfish","."," .",NA,5
"TBM1998021201","AM",". ",". ","1998-02-12",27.847167,-82.620667,"B",137,"A",1.4,6,"8835440401","Leiostomus xanthurus","Spot","."," .",NA,3
"TBM1998021201","AM",". ",". ","1998-02-12",27.847167,-82.620667,"B",137,"A",1.4,7,"8847010600","Gobiosoma spp.","Gobiosoma Gobies","."," .",NA,1
"TBM1998021201","AM",". ",". ","1998-02-12",27.847167,-82.620667,"B",137,"A",1.4,8,"8847010701","Microgobius gulosus","Clown Goby","."," .",NA,2
"TBM1998021201","AM",". ",". ","1998-02-12",27.847167,-82.620667,"B",137,"A",1.4,9,"8847010701","Microgobius gulosus","Clown Goby","."," .",NA,13
"TBM1998021201","AM",". ",". ","1998-02-12",27.847167,-82.620667,"B",137,"A",1.4,10,"8861010208","Sphoeroides nephelus","Southern Puffer","."," .",NA,1
"TBM1998021202","AM",". ",". ","1998-02-12",27.859667,-82.591833,"B",126,"A",1.4,1,"6177010102","Farfantepenaeus duorarum","Pink Shrimp","."," .",NA,1
"TBM1998021202","AM",". ",". ","1998-02-12",27.859667,-82.591833,"B",126,"A",1.4,2,"8820020102","Syngnathus floridae","Dusky Pipefish","."," .",NA,2
"TBM1998021202","AM",". ",". ","1998-02-12",27.859667,-82.591833,"B",126,"A",1.4,3,"8820020113","Syngnathus scovelli","Gulf Pipefish","."," .",NA,1
"TBM1998021202","AM",". ",". ","1998-02-12",27.859667,-82.591833,"B",126,"A",1.4,4,"8835430201","Lagodon rhomboides","Pinfish","."," .",NA,5
"TBM1998021202","AM",". ",". ","1998-02-12",27.859667,-82.591833,"B",126,"A",1.4,5,"8835440401","Leiostomus xanthurus","Spot","."," .",NA,208
"TBM1998021202","AM",". ",". ","1998-02-12",27.859667,-82.591833,"B",126,"A",1.4,6,"8847010701","Microgobius gulosus","Clown Goby","."," .",NA,1
"TBM1998021202","AM",". ",". ","1998-02-12",27.859667,-82.591833,"B",126,"A",1.4,7,"8860030201","Acanthostracion quadricornis","Scrawled Cowfish","."," .",NA,5
"TBM1998021202","AM",". ",". ","1998-02-12",27.859667,-82.591833,"B",126,"A",1.4,8,"8861010208","Sphoeroides nephelus","Southern Puffer","."," .",NA,1
"TBM1998021202","AM",". ",". ","1998-02-12",27.859667,-82.591833,"B",126,"A",1.4,9,"8861030101","Chilomycterus schoepfii","Striped Burrfish","."," .",NA,1
"TBM1998021203","AM",". ",". ","1998-02-12",28.029667,-82.685833,"A",4,"B",1.4,1,"6177010102","Farfantepenaeus duorarum","Pink Shrimp","."," .",NA,2
"TBM1998021203","AM",". ",". ","1998-02-12",28.029667,-82.685833,"A",4,"B",1.4,2,"8804040501","Floridichthys carpio","Goldspotted Killifish","."," .",NA,6
"TBM1998021203","AM",". ",". ","1998-02-12",28.029667,-82.685833,"A",4,"B",1.4,3,"8805030300","Menidia spp.","New World silversides","."," .",NA,29
"TBM1998021203","AM",". ",". ","1998-02-12",28.029667,-82.685833,"A",4,"B",1.4,4,"8820020113","Syngnathus scovelli","Gulf Pipefish","."," .",NA,1
"TBM1998021203","AM",". ",". ","1998-02-12",28.029667,-82.685833,"A",4,"B",1.4,5,"8835440901","Sciaenops ocellatus","Red Drum","."," .",NA,1
"TBM1998021203","AM",". ",". ","1998-02-12",28.029667,-82.685833,"A",4,"B",1.4,6,"8847010701","Microgobius gulosus","Clown Goby","."," .",NA,2
"TBM1998021204","AM",". ",". ","1998-02-12",28.0175,-82.668333,"A",5,"B",1.4,1,"6177010102","Farfantepenaeus duorarum","Pink Shrimp","."," .",NA,1
"TBM1998021204","AM",". ",". ","1998-02-12",28.0175,-82.668333,"A",5,"B",1.4,2,"6189010301","Callinectes sapidus","Blue Crab","."," .",NA,1
"TBM1998021204","AM",". ",". ","1998-02-12",28.0175,-82.668333,"A",5,"B",1.4,3,"8747020202","Anchoa mitchilli","Bay Anchovy","."," .",NA,1
"TBM1998021204","AM",". ",". ","1998-02-12",28.0175,-82.668333,"A",5,"B",1.4,4,"8803020202","Strongylura notata","Redfin Needlefish","."," .",NA,6
"TBM1998021204","AM",". ",". ","1998-02-12",28.0175,-82.668333,"A",5,"B",1.4,5,"8805030300","Menidia spp.","New World silversides","."," .",NA,11
"TBM1998021204","AM",". ",". ","1998-02-12",28.0175,-82.668333,"A",5,"B",1.4,6,"8847010701","Microgobius gulosus","Clown Goby","."," .",NA,1
"TBM1998021205","AM",". ",". ","1998-02-12",27.917,-82.681833,"A",63,"A",1.4,1,"6177010102","Farfantepenaeus duorarum","Pink Shrimp","."," .",NA,1
"TBM1998021205","AM",". ",". ","1998-02-12",27.917,-82.681833,"A",63,"A",1.4,2,"6189010301","Callinectes sapidus","Blue Crab","."," .",NA,2
"TBM1998021205","AM",". ",". ","1998-02-12",27.917,-82.681833,"A",63,"A",1.4,3,"6189010301","Callinectes sapidus","Blue Crab","."," .",NA,4
"TBM1998021205","AM",". ",". ","1998-02-12",27.917,-82.681833,"A",63,"A",1.4,4,"6189010301","Callinectes sapidus","Blue Crab","."," .",NA,7
"TBM1998021205","AM",". ",". ","1998-02-12",27.917,-82.681833,"A",63,"A",1.4,5,"8804040501","Floridichthys carpio","Goldspotted Killifish","."," .",NA,3
